dbID	LabID	*sample_name	sample_title	bioproject_accession	*organism	isolate	cultivar	ecotype	age	dev_stage	*geo_loc_name	*tissue	biomaterial_provider	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
EXP000003	44A				Vitis vinifera 		Chardonnay 548				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000004	46				Vitis vinifera 		Chardonnay 809				Canada/Ontario/Niagara/Chateau de Charmes	Leaves				JW/S	6/31/2021									White							
EXP000005	52				Vitis vinifera 		Chardonnay 96				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000006	45				Vitis vinifera 		Chardonnay 124				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000008	47				Vitis vinifera 		Chardonnay 77				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000009	48				Vitis vinifera 		Chardonnay 116				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000010	44B				Vitis vinifera 		Chardonnay 548				Canada/Ontario/Niagara/Chateau de Charmes	Leaves				JW/S	6/31/2021									White							
EXP000011	50				Vitis vinifera 		Chardonnay 128				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000012	51				Vitis vinifera 		Chardonnay 130				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000014	53				Vitis vinifera 		Chardonnay 95				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000015	54				Vitis vinifera 		Chardonnay 123				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000016	55				Vitis vinifera 		Chardonnay 76				Canada/Ontario/Niagara	Leaves				JW/S	6/31/2021									White							
EXP000001	57				Vitis vinifera		Chardonnay FPS 69				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000017	58				Hybrid		Frontenac Blanc* 				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000019	59				Vitis vinifera		Gewurztraminer FPS 01 				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000022	60				Hybrid		L’Acadie				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000023	62				Hybrid		GM 318-57				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000024	63				Hybrid		NY Muscat				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000025	64				Vitis vinifera		Pinot Gris FPS 04				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000026	65				Vitis vinifera		Pinot Gris FPS 09				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000028	66				Vitis vinifera		Riesling FPS 01				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000029	67				Vitis vinifera		Riesling CGCN 7				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000030	68				Vitis vinifera		Riesling CGCN 10				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000031	69				Vitis vinifera		Riesling CGCN 11 (239-13 Gm)				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000033	70				Vitis vinifera		Sauvignon Blanc FPS 14				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000034	71				Vitis vinifera		Sauvignon Blanc FPS 18				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000035	73				Vitis vinifera		Sauvignon Blanc FPS 20				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000038	16				Hybrid		Vidal 256				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									Red							
EXP000039	17				Vitis vinifera 		Viognier FPS 05				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									White							
EXP000041	76				Vitis vinifera		Cabernet Franc FPS 11 				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
EXP000042	77				Vitis vinifera 		Cabernet Franc FPS 12				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
EXP000043	78				Vitis vinifera 		Cabernet Franc FPS 33, though to be similar to FPS 34				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
EXP000045	79				Vitis vinifera 		Cabernet Sauvignon CGCN 07				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
EXP000047	80				Hybrid		Foch				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
EXP000048	81				Hybrid		Frontenac				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
EXP000049	82				Hybrid		Leon Millot				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
EXP000050	83				Hybrid		Lucie Kuhlman				Canada/Ontario/Niagara/CFIA	Leaves				SP/LZ	27-04-2022									red							
