Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
AWRI1,A01,350,350,,4.18,4.18,,30.5432964091365,,,
AWRI1,A02,352,352,,5.13,5.13,,80.3269340429576,80.3269340429576,,P 
AWRI1,A03,353,353,,6.15,6.15,,81.6453593766313,81.6453593766313,,P 
AWRI1,A04,,,,,,,,,,NP 
AWRI1,A05,,,,,,,,,,NP 
AWRI1,A06,,,,,,,,,,NP 
AWRI1,A07,,,,,,,,,,NP 
AWRI1,A08,,,,,,,,,,NP 
AWRI1,A09,,,,,,,,,,NP 
AWRI1,A10,,,,,,,,,,NP 
AWRI1,A11,,,,,,,,,,NP 
AWRI1,A12,,,,,,,,,,NP 
AWRI1,B01,,,,,,,,,,NP 
AWRI1,B02,,,,,,,,,,NP 
AWRI1,B03,,,,,,,,,,NP 
AWRI1,B04,,,,,,,,,,NP 
AWRI1,B05,320,354,,3.72,3.55,,47.577070680931,40.7424333357193,,CP 
AWRI1,B06,328,328,,1.31,1.31,,24.8124734632259,24.8124734632259,,P 
AWRI1,B07,,,,,,,,,,NP 
AWRI1,B08,,,,,,,,,,NP 
AWRI1,B09,329,329,,1.43,1.43,,32.2395935437496,,,
AWRI1,B10,319,319,,0.69,0.69,,30.1558752997602,30.1558752997602,,P LC 
AWRI1,B11,336,342,,2.19,1.79,,28.1316609719262,28.0513276421632,,CP 
AWRI1,B12,332,338,325,2.52,2.06,1.38,30.3132846168259,30.3080382237212,22.5422522016114,CP A2 
AWRI1,C01,354,354,,0.27,0.27,,19.753400927294,19.753400927294,,P LC 
AWRI1,C02,353,353,,0.26,0.26,,19.7916037450921,19.7916037450921,,P LC 
AWRI1,C03,354,354,,0.13,0.13,,18.3395584133138,18.3395584133138,,P LC 
AWRI1,C04,,,,,,,,,,NP 
AWRI1,C05,,,,,,,,,,NP 
AWRI1,C06,,,,,,,,,,NP 
AWRI1,C07,,,,,,,,,,NP 
AWRI1,C08,,,,,,,,,,NP 
AWRI1,C09,,,,,,,,,,NP 
AWRI1,C10,,,,,,,,,,NP 
AWRI1,C11,354,354,,3.19,3.19,,50.3571708412777,50.3571708412777,,P 
AWRI1,C12,354,354,,3.29,3.29,,60.6253821945799,60.6253821945799,,P 
AWRI1,D01,354,354,,3.18,3.18,,59.437499128932,59.437499128932,,P 
AWRI1,D02,320,327,,5.21,3.84,,48.4636222910217,48.1164307828395,,CP 
AWRI1,D03,,,,,,,,,,NP 
AWRI1,D04,,,,,,,,,,NP 
AWRI1,D05,353,353,,4.06,4.06,,43.333009564804,43.333009564804,,P 
AWRI1,D06,,,,,,,,,,NP 
AWRI1,D07,351,351,,5.19,5.19,,43.3415787828869,43.3415787828869,,P 
AWRI1,D08,,,,,,,,,,NP 
AWRI1,D09,,,,,,,,,,NP 
AWRI1,D10,,,,,,,,,,NP 
AWRI1,D11,328,335,,2.27,1.24,,19.7861860090174,19.7432096002685,,CP 
AWRI1,D12,324,326,,1.08,1.67,,28.5955689736238,28.4728973482425,,CP 
AWRI1,E01,335,335,,0.35,0.35,,48.4760296219306,48.4760296219306,,P LC 
AWRI1,E02,330,330,,1.47,1.47,,79.3517655586621,,,
AWRI1,E03,,,,,,,,,,NP 
AWRI1,E04,,,,,,,,,,NP 
AWRI1,E05,,,,,,,,,,NP 
AWRI1,E06,352,352,,0.27,0.27,,16.3754274260111,16.3754274260111,,P LC 
AWRI1,E07,353,353,,0.22,0.22,,19.205769089259,19.205769089259,,P LC 
AWRI1,E08,354,354,,0.71,0.71,,44.028188486501,,,LC 
AWRI1,E09,351,351,,0.33,0.33,,20.3129007437805,20.3129007437805,,P LC 
AWRI1,E10,351,351,,0.23,0.23,,20.115653499813,20.115653499813,,P LC 
AWRI1,E11,350,350,,5.75,5.75,,21.4371122515455,,,
AWRI1,E12,349,349,,1.76,1.76,,31.7736983898252,31.7736983898252,,P 
AWRI1,F01,352,352,,0.67,0.67,,26.2050464534266,26.2050464534266,,P LC 
AWRI1,F02,344,350,,2.12,7.04,,24.8434229202731,36.7420174119609,,P 
AWRI1,F03,347,354,,2.20,4.10,,30.435669073149,39.7810996913895,,CP 
AWRI1,F04,346,346,,1.45,1.45,,33.0616488404369,33.0616488404369,,P 
AWRI1,F05,352,352,,4.90,4.90,,75.5515895928473,75.5515895928473,,P 
AWRI1,F06,336,336,,1.81,1.81,,54.143225429562,54.143225429562,,P 
AWRI1,F07,350,350,,3.28,3.28,,27.3377257906907,,,
AWRI1,F08,347,354,,1.38,3.33,,34.4414053389309,34.3900939295634,,P 
AWRI1,F09,316,321,,2.43,1.93,,43.1683985811519,42.9315617649775,,CP 
AWRI1,F10,346,354,,1.34,2.42,,28.5529564697062,39.6999855563885,,CP 
AWRI1,F11,333,333,,2.55,2.55,,39.8692409847788,,,
AWRI1,F12,341,341,,0.74,0.74,,53.4557748538012,53.4557748538012,,P LC 
AWRI1,G01,,,,,,,,,,NP 
AWRI1,G02,,,,,,,,,,NP 
AWRI1,G03,337,337,,1.99,1.99,,73.9223875755241,73.9223875755241,,P 
