Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
VRZAG62,A01,323,331,,1.09,1.25,,43.3049620062298,38.4791910534426,,CP 
VRZAG62,A02,320,328,,1.92,2.29,,41.378540862671,39.5316478958284,,CP 
VRZAG62,A03,325,327,318,1.86,2.27,1.80,17.7246223580768,17.6737466894177,17.6785620819245,C A2 
VRZAG62,A04,321,329,,1.27,1.56,,40.1837180112405,38.0523332507215,,CP 
VRZAG62,A05,320,328,,1.22,1.15,,29.4338738097932,21.8020013255953,,CP 
VRZAG62,A06,320,327,,1.20,1.43,,27.3138677537565,24.029787046167,,CP 
VRZAG62,A07,317,325,,1.37,1.78,,33.6196443519951,33.7332893635372,,CP 
VRZAG62,A08,322,329,330,0.21,0.12,0.09,7.64567258352655,6.87882473678209,6.83226272378274,CP A2 LC 
VRZAG62,A09,321,329,,1.05,1.11,,30.3726037316554,24.4236783460364,,CP 
VRZAG62,A10,318,327,,1.38,1.29,,29.8395893971155,22.0407486163266,,CP 
VRZAG62,A11,321,330,329,1.60,1.06,0.83,19.0559926675043,18.9944594344092,19.0142839488373,C A2 
VRZAG62,A12,326,334,,0.50,0.55,,19.2370726626639,17.6142629579708,,CP LC 
VRZAG62,B01,324,332,,1.27,1.46,,43.7793980725747,38.1512920037243,,CP 
VRZAG62,B02,326,334,,0.35,0.40,,21.79548156956,20.6302021403092,,CP LC 
VRZAG62,B03,326,334,,0.19,0.22,,25.1411903432011,24.3809346490411,,CP LC 
VRZAG62,B04,321,329,,0.73,0.73,,25.0443613848303,19.2509532978442,,CP LC 
VRZAG62,B05,317,317,,3.22,3.22,,83.7399939482299,,,
VRZAG62,B06,322,322,,0.99,0.99,,51.7720931260917,51.7720931260917,,P LC 
VRZAG62,B07,323,326,319,1.47,1.45,1.14,16.1684479730342,16.1635486660412,16.1841257554119,C A2 
VRZAG62,B08,318,324,322,1.64,2.17,1.59,17.3460654827365,17.3301684432879,17.337572543853,C A2 
VRZAG62,B09,317,334,,1.98,1.71,,30.5545338411583,28.2171149685773,,CP 
VRZAG62,B10,306,325,,2.11,1.75,,40.5023047164376,31.3297390731748,,CP 
VRZAG62,B11,326,330,,1.68,1.29,,27.0751097400515,27.0231421589766,,CP 
VRZAG62,B12,318,334,339,2.06,2.55,1.92,15.6487828031729,15.6938343711284,15.6956444787694,C A2 
VRZAG62,C01,322,328,,1.20,1.20,,42.3012152936098,33.7163423249254,,CP 
VRZAG62,C02,315,323,,5.84,7.30,,38.6636850791581,26.9402392061778,,CP 
VRZAG62,C03,318,325,,1.44,3.86,,19.8530356663045,19.7598102781575,,P 
VRZAG62,C04,325,336,,3.46,3.76,,32.0277945855211,31.6748970390178,,CP 
VRZAG62,C05,322,333,,3.61,4.04,,40.7941922954408,36.2036190260895,,CP 
VRZAG62,C06,321,332,,3.15,3.89,,37.9956727544146,36.9086648841186,,CP 
VRZAG62,C07,322,332,338,1.55,2.18,1.49,16.0697466789632,16.1163491160254,16.0861801699272,C A2 
VRZAG62,C08,325,336,,2.61,3.29,,35.6935347324333,35.5562981776055,,CP 
VRZAG62,C09,317,327,,1.53,3.77,,18.9344894591401,18.8483170753142,,P 
VRZAG62,C10,316,326,,2.01,5.21,,19.6915664215027,19.5907029373302,,P 
VRZAG62,C11,317,330,,4.45,0.93,,14.9080440528816,14.8933707811761,,P 
VRZAG62,C12,320,329,,2.86,4.08,,22.4996631143146,22.4087756570704,,CP 
VRZAG62,D01,321,330,,1.48,3.63,,19.4961712695748,19.4182169383954,,P 
VRZAG62,D02,319,332,,3.47,4.94,,43.5251967689458,40.090085854264,,CP 
VRZAG62,D03,324,338,,0.89,1.01,,40.4968554691327,30.220802883956,,CP LC 
VRZAG62,D04,321,334,,0.76,0.72,,45.8194591825533,31.5635405613085,,CP LC 
VRZAG62,D05,324,330,313,6.00,4.63,4.00,17.8256054736547,17.7764100959619,17.8225178976489,C A2 
VRZAG62,D06,321,335,332,4.55,3.83,2.47,23.6347535466105,23.5403145612559,23.6256332707663,C A2 
VRZAG62,D07,325,328,321,1.35,1.47,1.11,15.7599442995236,15.7566060860401,15.7766353669412,C A2 
VRZAG62,D08,327,338,,0.80,0.76,,43.0206944524955,34.5588661526868,,CP LC 
VRZAG62,D09,313,325,329,2.86,4.39,1.70,18.2071670529506,18.1746003446841,16.2690913412967,CP A2 
VRZAG62,D10,319,326,,2.89,3.38,,30.7927092320966,30.735188380788,,CP 
VRZAG62,D11,328,331,315,1.20,1.81,1.13,16.7799062844542,16.7638276368982,16.7293733921352,CP A2 
VRZAG62,D12,325,327,,1.68,1.99,,40.2259599480903,40.1832107687219,,CP 
VRZAG62,E01,316,331,,1.32,1.51,,32.286039303462,29.4983212899125,,CP 
VRZAG62,E02,313,331,,0.81,0.80,,38.1812984373015,33.2359293609452,,CP LC 
VRZAG62,E03,321,326,,2.89,2.20,,37.4685338074533,37.3109828014153,,CP 
VRZAG62,E04,319,319,,4.85,4.85,,79.76655577905,,,
VRZAG62,E05,318,322,,3.95,4.40,,38.7106958226089,38.4638320449353,,CP 
VRZAG62,E06,314,325,,4.10,6.47,,23.2724635579085,23.1549786061353,,CP 
VRZAG62,E07,325,327,321,1.44,1.45,1.14,16.2221447955363,16.224107725602,16.2464360550994,C A2 
VRZAG62,E08,315,322,,1.13,4.12,,24.6007636096683,24.5344161887707,,P 
VRZAG62,E09,316,322,,1.55,2.06,,41.8638971794844,38.4547186643025,,CP 
VRZAG62,E10,317,324,,1.30,3.88,,23.0518228471419,22.9825171713576,,P 
VRZAG62,E11,328,331,322,1.29,1.23,0.98,15.1140911193771,15.1055853717738,15.1781954122902,C A2 
VRZAG62,E12,324,331,,2.33,2.87,,28.9209989694564,28.8391401904678,,CP 
VRZAG62,F01,318,330,,2.88,4.21,,20.6163987538333,20.5393062159518,,CP 
VRZAG62,F02,313,321,,6.10,7.27,,41.6811985423134,28.332568497773,,CP 
VRZAG62,F03,319,326,,1.36,3.77,,21.6448401506258,21.5368509851153,,P 
VRZAG62,F04,318,325,,1.50,4.42,,22.4856101724591,22.3756346844086,,P 
VRZAG62,F05,323,323,,3.09,3.09,,81.3476547642593,,,
VRZAG62,F06,317,323,,2.74,2.91,,38.7444368613805,33.5283035190757,,CP 
VRZAG62,F07,321,332,337,1.82,2.48,1.70,14.9299701504697,14.9358540609166,14.8867460391099,CP A2 
VRZAG62,F08,321,336,,2.25,2.64,,35.964595938684,32.8475960232762,,CP 
VRZAG62,F09,313,326,,2.29,3.12,,34.7457514280261,34.6538784169437,,CP 
VRZAG62,F10,321,327,,1.72,2.11,,44.3914452204305,35.9367906516832,,CP 
VRZAG62,F11,329,331,322,1.02,1.29,0.93,15.5861093116029,15.5907975041768,15.6442855194517,C A2 
VRZAG62,F12,328,331,,1.78,2.19,,31.0072708965097,30.8851135906833,,CP 
VRZAG62,G01,322,329,,1.06,2.82,,21.3710472889453,21.2843954221844,,P 
VRZAG62,G02,325,331,,2.72,2.73,,43.8414335644432,33.5257351685508,,CP 
VRZAG62,G03,315,329,314,1.91,3.82,1.37,29.5453757085076,29.5488445341714,29.6497873609868,C A2 
VRZAG62,G04,335,335,,2.06,2.06,,74.6855307358458,74.6855307358458,,P 
VRZAG62,G05,335,335,,2.44,2.44,,67.8206076292599,67.8206076292599,,P 
VRZAG62,G06,318,333,330,2.79,3.01,2.48,16.088331250239,16.1211374701373,16.1853410538646,C A2 
VRZAG62,G07,317,328,334,1.56,2.48,1.43,17.3755883013566,17.3771553637935,17.3588729686953,CP A2 
VRZAG62,G08,320,320,,3.44,3.44,,69.7318140461852,,,
VRZAG62,G09,314,331,312,1.70,2.77,1.29,21.1039119340806,21.126394313854,21.1545650065822,C A2 
VRZAG62,G10,334,334,,2.83,2.83,,64.5461405381529,64.5461405381529,,P 
VRZAG62,G11,329,329,,4.17,4.17,,37.2424195037303,37.2424195037303,,P 
VRZAG62,G12,322,327,,2.33,4.03,,31.6547079986043,31.5119259137452,,CP 
VRZAG62,H01,328,339,,5.00,3.21,,31.7446411718923,31.6156758646879,,CP 
VRZAG62,H02,328,328,,7.88,7.88,,86.5837240052891,86.5837240052891,,P 
VRZAG62,H03,326,326,,3.04,3.04,,92.3076093288171,,,
VRZAG62,H04,318,318,,1.87,1.87,,89.4200088548266,89.4200088548266,,P 
VRZAG62,H05,302,321,,3.98,3.34,,48.4444594222679,36.9538477092355,,CP 
VRZAG62,H06,301,320,,1.85,1.59,,38.1993541066597,28.487262933453,,CP 
VRZAG62,H07,319,323,311,1.75,1.51,1.32,17.2851162284001,17.2643657887502,17.2737034865926,C A2 
VRZAG62,H08,327,335,,0.90,0.87,,35.9358483274418,24.9650484774776,,CP LC 
VRZAG62,H09,324,328,,1.45,0.97,,53.1181590329847,38.3570046214533,,CP 
VRZAG62,H10,331,331,,3.27,3.27,,31.5477699573026,31.5477699573026,,P 
VRZAG62,H11,,,,,,,,,,NP 
VRZAG62,H12,,,,,,,,,,NP 
