Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
YAG1,A01,363,363,,3.82,3.82,,74.1114183289867,,,
YAG1,A02,367,367,,2.06,2.06,,87.0789463068296,,,
YAG1,A03,362,368,380,3.38,2.46,1.26,32.9753775315097,32.8462168806337,12.0298903500215,CP A2 
YAG1,A04,366,366,,1.20,1.20,,87.520448702968,,,
YAG1,A05,370,370,,1.33,1.33,,40.7429312779029,,,
YAG1,A06,369,369,,1.69,1.69,,46.0089459250779,,,
YAG1,A07,363,369,380,2.60,1.60,0.96,30.9952021548217,30.9437632688944,12.322418936992,CP A2 
YAG1,A08,372,372,,0.70,0.70,,31.143575125647,,,LC 
YAG1,A09,368,368,,2.88,2.88,,53.1338010683655,,,
YAG1,A10,363,363,,2.91,2.91,,69.7718132540654,,,
YAG1,A11,373,373,,1.94,1.94,,55.1924529465263,,,
YAG1,A12,375,375,,0.80,0.80,,25.304711660906,,,LC 
YAG1,B01,368,368,,2.65,2.65,,80.6029098037708,,,
YAG1,B02,375,375,,0.30,0.30,,23.9630923586849,,,LC 
YAG1,B03,372,372,,0.81,0.81,,41.8617300258358,,,LC 
YAG1,B04,373,373,,0.32,0.32,,32.7195035100214,,,LC 
YAG1,B05,355,355,,3.78,3.78,,42.5230724702508,,,
YAG1,B06,362,362,,2.09,2.09,,39.3791223143734,,,
YAG1,B07,349,386,370,2.75,4.38,2.70,15.339754728924,15.2541729983713,15.2641298756102,CP A2 
YAG1,B08,347,376,,3.35,2.65,,39.0698310916484,26.873338285893,,CP 
YAG1,B09,359,378,390,0.78,1.42,0.52,27.5838309600368,33.817388399382,10.6840105232388,CP A2 LC 
YAG1,B10,353,375,336,4.65,4.75,2.55,20.0894863095932,17.5435009497816,20.0474058717664,C A2 
YAG1,B11,362,381,,1.34,3.57,,20.8903624931767,20.9709422049959,,P 
YAG1,B12,358,381,394,2.47,3.81,2.19,19.2531288302167,29.4014460649267,16.8643854973706,CP A2 
YAG1,C01,375,375,,5.09,5.09,,55.0126521657531,,,
YAG1,C02,375,375,,6.65,6.65,,64.363986784141,,,
YAG1,C03,370,370,,6.50,6.50,,61.2958405208191,,,
YAG1,C04,359,371,,3.17,4.46,,42.1070501782553,37.5166735381854,,CP 
YAG1,C05,355,367,,6.42,10.26,,38.2975737267767,38.3089770354906,,CP 
YAG1,C06,353,364,,2.85,9.26,,26.5322107564728,26.4682158760633,,P 
YAG1,C07,361,383,,2.58,5.83,,21.4568070590496,21.3494501270722,,P 
YAG1,C08,358,370,,2.98,4.31,,45.520663247706,40.6940643469862,,CP 
YAG1,C09,341,376,387,1.92,2.72,1.88,23.6201102257514,21.0259143866357,14.7499701305982,C A2 
YAG1,C10,340,376,387,2.66,2.97,2.10,25.8432911369176,19.4428727409523,13.0663102552888,C A2 
YAG1,C11,379,389,340,2.63,1.93,1.55,19.9788084414871,18.3976766146211,20.0677471067484,C A2 
YAG1,C12,350,385,,0.80,0.72,,50.2006248468512,25.4625091889243,,CP LC 
YAG1,D01,345,379,392,1.84,3.36,1.57,23.9524617996604,23.9451046972269,13.92246745897,C A2 
YAG1,D02,,,,,,,,,,NP 
YAG1,D03,344,379,,1.09,0.97,,54.5366112486735,30.207438475921,,CP 
YAG1,D04,343,379,,1.77,1.15,,54.4539905041827,23.5011201775841,,C 
YAG1,D05,339,356,374,7.96,5.96,5.49,25.3226019263755,25.2258433390509,21.4320270924045,CP A2 
YAG1,D06,345,363,378,3.79,4.45,1.92,36.9772142594634,34.5920617420066,16.1369900771775,CP A2 
YAG1,D07,345,371,382,0.32,0.21,0.15,47.1430108683956,20.4993005488002,15.0677929624448,C A2 LC 
YAG1,D08,369,371,353,2.11,2.52,2.09,21.8934551662035,21.8804726732334,21.9169341428516,C A2 
YAG1,D09,363,375,353,3.16,2.08,2.00,15.8813694333579,11.5087498029324,15.8400889501066,C A2 
YAG1,D10,339,365,377,3.22,2.36,1.33,42.1333609892932,25.9348702145312,16.3091146141994,CP A2 
YAG1,D11,365,365,,1.43,1.43,,20.932944606414,,,
YAG1,D12,368,380,357,2.33,3.90,2.08,17.4284896129289,16.9832974644182,17.4560065145705,C A2 
YAG1,E01,366,376,,0.44,0.39,,32.775275819926,23.7062831695435,,CP LC 
YAG1,E02,,,,,,,,,,NP 
YAG1,E03,369,390,343,6.03,3.32,2.97,22.1191737918093,14.7065586552312,22.1569689841551,C A2 
YAG1,E04,382,394,349,2.59,1.66,1.22,11.6162400647752,7.99048201331857,12.9537154849051,C A2 
YAG1,E05,345,373,,5.22,4.87,,49.4868060025067,30.5612953490735,,CP 
YAG1,E06,374,374,,4.78,4.78,,69.8964285031817,,,
YAG1,E07,376,376,,4.48,4.48,,48.8579809014122,,,
YAG1,E08,371,382,392,5.51,3.22,2.38,26.5929233248288,26.5022827984423,19.3265744595139,CP A2 
YAG1,E09,371,381,390,4.42,2.72,1.69,29.2782147736311,29.2066717660087,17.8503609496954,CP A2 
YAG1,E10,372,372,,5.96,5.96,,62.9337200956053,,,
YAG1,E11,376,395,386,3.16,1.76,1.51,25.4178405075208,21.0855773891906,25.369013411644,C A2 
YAG1,E12,378,387,,4.32,2.50,,31.8413746985754,31.7663985085817,,CP 
YAG1,F01,376,387,397,4.42,2.35,1.54,31.0924493121724,31.0260155917373,16.7754320027014,CP A2 
YAG1,F02,346,346,,3.45,3.45,,15.2505601172847,,,
YAG1,F03,344,352,,1.24,1.32,,43.5076465318659,35.617161504991,,CP 
YAG1,F04,340,349,,2.73,2.74,,43.1360730795603,34.9765543783592,,CP 
YAG1,F05,354,354,,8.47,8.47,,77.5852322911146,,,
YAG1,F06,366,393,,0.45,0.43,,47.5450385455745,32.613266273653,,CP LC 
YAG1,F07,360,369,,3.17,1.54,,31.8823343228325,31.7955333464414,,P 
YAG1,F08,380,380,,0.71,0.71,,79.7617939890202,,,LC 
YAG1,F09,346,356,,4.47,2.05,,33.7814877098818,33.6307475145294,,P 
YAG1,F10,370,370,,6.20,6.20,,69.9707019228402,,,
YAG1,F11,356,397,,1.48,0.90,,52.5750591572534,20.9977494916456,,C 
YAG1,F12,347,357,,1.54,5.75,,36.5085951669379,36.3179022850509,,P 
YAG1,G01,346,385,351,2.28,3.75,1.77,24.7212069549377,24.6493922019688,24.6204911428471,CP A2 
YAG1,G02,344,370,,1.79,1.26,,50.8799574346171,25.2916138010068,,C 
YAG1,G03,348,365,,2.31,1.45,,70.7713046536162,23.1290922182963,,C 
YAG1,G04,331,342,,4.25,6.10,,40.0736554453118,40.0369256687268,,CP 
YAG1,G05,359,359,,5.05,5.05,,85.6019892516243,,,
YAG1,G06,343,343,,12.76,12.76,,56.2166135751041,,,
YAG1,G07,339,347,,2.91,1.39,,39.6314893970204,39.4809075225725,,P 
YAG1,G08,359,361,,1.68,2.68,,27.6481068271842,27.5588535450504,,CP 
YAG1,G09,339,352,344,2.29,4.04,1.76,22.6912673596357,22.5391736535018,22.5963186875984,CP A2 
YAG1,G10,341,355,338,2.47,4.25,2.33,29.8400834530454,24.0521089806857,30.0216710980608,C A2 
YAG1,G11,359,359,,3.66,3.66,,51.0691780106535,,,
YAG1,G12,346,366,,1.85,10.34,,26.569222283508,26.5381963596249,,P 
YAG1,H01,362,372,345,4.08,3.57,2.22,17.4596619385098,16.3479397756633,14.269556826082,CP A2 
YAG1,H02,,,,,,,,,,NP 
YAG1,H03,335,359,350,3.06,2.47,1.54,40.3279837102884,25.6021062772316,18.8152737941453,CP A2 
YAG1,H04,339,352,,8.06,2.77,,26.675203151933,26.5691537388164,,P 
YAG1,H05,342,361,,1.88,1.59,,56.099141422323,29.2041022318035,,CP 
YAG1,H06,348,348,,1.65,1.65,,49.9624569717891,,,
YAG1,H07,365,384,350,0.58,0.94,0.57,21.4515261931784,16.4135953646736,20.5650797443402,CP A2 LC 
YAG1,H08,354,362,375,0.76,0.90,0.39,36.5005711022273,23.2747953550352,9.58856843708357,CP A2 LC 
YAG1,H09,350,383,361,0.16,0.10,0.08,14.7472100483441,5.61604843446438,8.47829033569783,C A2 LC 
YAG1,H10,348,358,,2.66,7.07,,20.8565129112221,20.8854121252133,,P 
YAG1,H11,387,387,,0.02,0.02,,4.46042387543253,4.46042387543253,,P LC 
YAG1,H12,,,,,,,,,,NP 
