Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
AWRI3,A01,350,362,,4.18,3.37,,30.5432964091365,30.4087490974411,,CP 
AWRI3,A02,352,352,,5.13,5.13,,80.3269340429576,,,
AWRI3,A03,353,353,,6.15,6.15,,81.6453593766313,,,
AWRI3,A04,358,358,,2.55,2.55,,50.3831895074613,50.3831895074613,,P 
AWRI3,A05,362,362,,0.67,0.67,,23.0082940191752,23.0082940191752,,P LC 
AWRI3,A06,,,,,,,,,,NP 
AWRI3,A07,,,,,,,,,,NP 
AWRI3,A08,,,,,,,,,,NP 
AWRI3,A09,362,362,,1.80,1.80,,43.0175401743514,43.0175401743514,,P 
AWRI3,A10,361,361,,0.96,0.96,,30.1910847831833,30.1910847831833,,P LC 
AWRI3,A11,359,359,,0.31,0.31,,43.8238947416847,43.8238947416847,,P LC 
AWRI3,A12,368,368,,0.24,0.24,,9.44239679085809,9.44239679085809,,P LC 
AWRI3,B01,355,355,,4.58,4.58,,83.2836721975539,83.2836721975539,,P 
AWRI3,B02,363,363,,0.67,0.67,,21.978398420183,21.978398420183,,P LC 
AWRI3,B03,362,362,,1.44,1.44,,18.4942517351456,18.4942517351456,,P 
AWRI3,B04,361,365,362,0.03,0.03,0.02,12.036225533158,9.21998247151621,11.9836400817996,C A2 LC 
AWRI3,B05,320,354,,3.72,3.55,,47.577070680931,40.7424333357193,,CP 
AWRI3,B06,328,361,,1.31,1.45,,24.8124734632259,24.0222673019767,,CP 
AWRI3,B07,358,370,,1.86,1.58,,44.9614721647213,34.0957568220636,,CP 
AWRI3,B08,355,368,,1.47,1.23,,47.4626973910836,35.7307322733289,,CP 
AWRI3,B09,329,329,,1.43,1.43,,32.2395935437496,,,
AWRI3,B10,319,319,,0.69,0.69,,30.1558752997602,,,LC 
AWRI3,B11,336,342,,2.19,1.79,,28.1316609719262,28.0513276421632,,CP 
AWRI3,B12,332,338,325,2.52,2.06,1.38,30.3132846168259,30.3080382237212,22.5422522016114,CP A2 
AWRI3,C01,363,363,,0.74,0.74,,46.5022672848627,,,LC 
AWRI3,C02,361,361,,0.70,0.70,,41.6248867411658,,,LC 
AWRI3,C03,354,362,,0.13,0.28,,18.3395584133138,33.5256016264006,,P LC 
AWRI3,C04,360,360,,0.43,0.43,,58.8508257131159,58.8508257131159,,P LC 
AWRI3,C05,359,359,,0.94,0.94,,59.7417688831504,,,LC 
AWRI3,C06,358,358,,2.43,2.43,,60.2848322386391,,,
AWRI3,C07,361,361,,0.92,0.92,,62.1536438256768,,,LC 
AWRI3,C08,356,356,,1.46,1.46,,84.5886099385322,84.5886099385322,,P 
AWRI3,C09,359,359,,1.40,1.40,,69.4292686766906,,,
AWRI3,C10,358,358,,0.91,0.91,,57.0876638047899,,,LC 
AWRI3,C11,354,354,,3.19,3.19,,50.3571708412777,,,
AWRI3,C12,354,354,,3.29,3.29,,60.6253821945799,,,
AWRI3,D01,354,354,,3.18,3.18,,59.437499128932,,,
AWRI3,D02,320,327,,5.21,3.84,,48.4636222910217,48.1164307828395,,CP 
AWRI3,D03,362,362,,1.23,1.23,,45.0201504752211,,,
AWRI3,D04,357,357,,2.03,2.03,,83.0339034060427,83.0339034060427,,P 
AWRI3,D05,353,366,,4.06,3.53,,43.333009564804,35.6116413530798,,CP 
AWRI3,D06,355,370,,3.09,2.73,,44.8994623259925,35.6234808867938,,CP 
AWRI3,D07,351,370,,5.19,1.84,,43.3415787828869,22.1753155605935,,P 
AWRI3,D08,356,371,,1.93,1.62,,38.9956848073083,28.8670323868983,,CP 
AWRI3,D09,362,362,,0.75,0.75,,51.4512424305701,,,LC 
AWRI3,D10,359,359,,0.96,0.96,,47.4023831347388,,,LC 
AWRI3,D11,328,357,335,2.27,3.11,1.24,19.7861860090174,19.8790048799839,19.7432096002685,CP A2 
AWRI3,D12,326,357,324,1.67,3.16,1.08,28.4728973482425,28.7118772293889,28.5955689736238,C A2 
AWRI3,E01,335,362,,0.35,0.19,,48.4760296219306,21.3927504222424,,C LC 
AWRI3,E02,330,330,,1.47,1.47,,79.3517655586621,,,
AWRI3,E03,374,374,,1.54,1.54,,60.817121324126,,,
AWRI3,E04,374,374,,1.02,1.02,,66.0010115958862,,,
AWRI3,E05,373,373,,0.75,0.75,,64.6865022756606,,,LC 
AWRI3,E06,361,361,,0.92,0.92,,44.0938568565028,,,LC 
AWRI3,E07,361,361,,0.58,0.58,,42.3311830066963,,,LC 
AWRI3,E08,354,354,,0.71,0.71,,44.028188486501,,,LC 
AWRI3,E09,360,360,,0.97,0.97,,43.5462084295118,,,LC 
AWRI3,E10,359,359,,0.51,0.51,,40.835467073276,,,LC 
AWRI3,E11,350,374,,5.75,1.17,,21.4371122515455,13.1913501686371,,P 
AWRI3,E12,349,355,,1.76,3.61,,31.7736983898252,33.6562036630955,,P 
AWRI3,F01,352,360,,0.67,1.65,,26.2050464534266,49.0272206794885,,P LC 
AWRI3,F02,344,350,,2.12,7.04,,24.8434229202731,36.7420174119609,,P 
AWRI3,F03,347,354,,2.20,4.10,,30.435669073149,39.7810996913895,,CP 
AWRI3,F04,346,356,,1.45,2.57,,33.0616488404369,37.1006262474683,,CP 
AWRI3,F05,352,352,,4.90,4.90,,75.5515895928473,,,
AWRI3,F06,336,359,,1.81,1.45,,54.143225429562,32.380021081239,,CP 
AWRI3,F07,350,358,371,3.28,2.44,1.36,27.3377257906907,27.2554881529427,11.9834750723207,CP A2 
AWRI3,F08,347,354,,1.38,3.33,,34.4414053389309,34.3900939295634,,P 
AWRI3,F09,316,321,,2.43,1.93,,43.1683985811519,42.9315617649775,,CP 
AWRI3,F10,346,354,,1.34,2.42,,28.5529564697062,39.6999855563885,,CP 
AWRI3,F11,333,358,,2.55,2.42,,39.8692409847788,37.4905506180407,,CP 
AWRI3,F12,341,377,,0.74,0.41,,53.4557748538012,25.3965643274854,,C LC 
AWRI3,G01,360,360,,1.38,1.38,,55.8921802037459,,,
AWRI3,G02,367,367,,1.64,1.64,,50.3398932735121,,,
AWRI3,G03,337,337,,1.99,1.99,,73.9223875755241,73.9223875755241,,P 
AWRI3,G04,331,336,374,1.67,1.47,0.79,32.3142517469359,32.1748389910964,13.1415766470805,CP A2 
AWRI3,G05,326,374,,0.84,0.81,,30.2684553325768,27.9694082168783,,CP LC 
AWRI3,G06,324,324,,2.74,2.74,,83.7924197486359,,,
AWRI3,G07,324,330,,2.71,1.99,,37.7930408633529,37.5510458278099,,CP 
AWRI3,G08,319,353,,2.45,2.80,,41.7180652907914,41.6918956086247,,CP 
AWRI3,G09,321,331,335,2.08,2.13,1.99,24.050420930338,27.4607765493132,27.3920461087057,C A2 
AWRI3,G10,377,377,,0.22,0.22,,39.0684071617091,39.0684071617091,,P LC 
AWRI3,G11,377,377,,0.40,0.40,,34.7771197722995,34.7771197722995,,P LC 
AWRI3,G12,351,351,,0.05,0.05,,16.2159899539556,,,LC 
AWRI3,H01,330,330,,0.36,0.36,,47.8494031221304,,,LC 
AWRI3,H02,431,431,,0.01,0.01,,9.99852529125498,9.99852529125498,,P LC 
AWRI3,H03,335,335,,0.63,0.63,,35.5375985370796,35.5375985370796,,P LC 
AWRI3,H04,341,341,,0.08,0.08,,24.9577090381827,24.9577090381827,,P LC 
AWRI3,H05,316,316,,0.03,0.03,,9.0962441314554,9.0962441314554,,P LC 
AWRI3,H06,321,440,,0.05,0.01,,11.562526784949,7.49121453672752,,P LC 
AWRI3,H07,334,334,,0.51,0.51,,66.5986949429037,66.5986949429037,,P LC 
AWRI3,H08,,,,,,,,,,NP 
AWRI3,H09,391,391,,0.12,0.12,,20.5057803468208,,,LC 
AWRI3,H10,359,359,,0.49,0.49,,54.4413798314883,,,LC 
AWRI3,H11,,,,,,,,,,NP 
AWRI3,H12,,,,,,,,,,NP 
