Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
VVVMD2,A01,410,410,,1.17,1.17,,48.7884362680683,48.7884362680683,,P 
VVVMD2,A02,404,411,,1.63,1.85,,48.7760365972357,40.1900428265525,,CP 
VVVMD2,A03,408,408,,0.79,0.79,,44.3102927859946,44.3102927859946,,P LC 
VVVMD2,A04,408,408,,0.45,0.45,,44.5801960505754,44.5801960505754,,P LC 
VVVMD2,A05,407,407,,0.16,0.16,,30.4787093361545,30.4787093361545,,P LC 
VVVMD2,A06,409,409,,0.22,0.22,,29.9442347772207,29.9442347772207,,P LC 
VVVMD2,A07,405,411,,1.40,1.36,,50.4374743667363,39.6480674960452,,CP 
VVVMD2,A08,408,408,,0.04,0.04,,7.91159224176816,7.91159224176816,,P LC 
VVVMD2,A09,408,408,,0.34,0.34,,36.1712094153468,36.1712094153468,,P LC 
VVVMD2,A10,408,408,,0.48,0.48,,42.8932896129715,42.8932896129715,,P LC 
VVVMD2,A11,410,410,,0.35,0.35,,34.5052737317931,34.5052737317931,,P LC 
VVVMD2,A12,,,,,,,,,,NP 
VVVMD2,B01,404,411,,1.75,1.82,,52.1511111111111,38.7699145299145,,CP 
VVVMD2,B02,411,411,,0.33,0.33,,34.8092199505144,34.8092199505144,,P LC 
VVVMD2,B03,410,410,,0.16,0.16,,23.4254742547425,23.4254742547425,,P LC 
VVVMD2,B04,410,410,,0.15,0.15,,26.8812673801298,26.8812673801298,,P LC 
VVVMD2,B05,400,400,,2.13,2.13,,89.2965693271314,89.2965693271314,,P 
VVVMD2,B06,403,403,,0.43,0.43,,50.1866588073485,50.1866588073485,,P LC 
VVVMD2,B07,,,,,,,,,,NP 
VVVMD2,B08,,,,,,,,,,NP 
VVVMD2,B09,398,398,,0.26,0.26,,16.360753494304,16.360753494304,,P LC 
VVVMD2,B10,,,,,,,,,,NP 
VVVMD2,B11,406,406,,0.37,0.37,,21.3247766930404,21.3247766930404,,P LC 
VVVMD2,B12,,,,,,,,,,NP 
VVVMD2,C01,403,409,,0.96,2.25,,34.0201114875943,45.8009982876088,,P LC 
VVVMD2,C02,411,411,,0.29,0.29,,36.3797868140545,36.3797868140545,,P LC 
VVVMD2,C03,403,410,,0.35,0.71,,26.3979860090006,39.7295370494141,,P LC 
VVVMD2,C04,,,,,,,,,,NP 
VVVMD2,C05,,,,,,,,,,NP 
VVVMD2,C06,409,409,,2.53,2.53,,42.3273383156292,42.3273383156292,,P 
VVVMD2,C07,400,400,,5.58,5.58,,35.7121965486984,35.7121965486984,,P 
VVVMD2,C08,401,401,,7.26,7.26,,35.3977842708639,35.3977842708639,,P 
VVVMD2,C09,393,409,399,2.94,3.89,1.84,22.9326578126602,22.847729635541,22.833965413732,CP A2 
VVVMD2,C10,390,390,,6.54,6.54,,43.1172412399875,43.1172412399875,,P 
VVVMD2,C11,396,402,,2.31,1.46,,29.8748714367583,29.7613942138002,,CP 
VVVMD2,C12,400,405,,1.84,2.00,,30.7956168886242,30.6644401807826,,CP 
VVVMD2,D01,400,402,,1.18,1.84,,31.5956893837898,31.4953914183011,,CP 
VVVMD2,D02,386,386,,13.13,13.13,,43.4145952200455,,,
VVVMD2,D03,391,399,,2.69,3.00,,45.8948511071675,41.9424675411796,,CP 
VVVMD2,D04,390,399,397,1.29,1.59,1.16,23.2110536966216,23.1991502791199,23.2064754591209,C A2 
VVVMD2,D05,389,389,,2.52,2.52,,37.7136298696253,,,
VVVMD2,D06,395,395,,1.28,1.28,,47.1849691202112,,,
VVVMD2,D07,392,392,,1.49,1.49,,51.3304439852845,51.3304439852845,,P 
VVVMD2,D08,395,395,,0.62,0.62,,43.0718647252231,43.0718647252231,,P LC 
VVVMD2,D09,392,392,,2.57,2.57,,48.1181576334147,,,
VVVMD2,D10,394,394,,1.12,1.12,,48.4757173095014,48.4757173095014,,P 
VVVMD2,D11,393,393,,0.37,0.37,,24.3194116830859,24.3194116830859,,P LC 
VVVMD2,D12,410,410,,1.34,1.34,,84.8462301587302,84.8462301587302,,P 
