Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
VRZAG64,A01,441,464,,5.51,0.92,,25.8738606509861,14.9222344191324,,P 
VRZAG64,A02,442,442,,7.30,7.30,,51.5893929900859,,,
VRZAG64,A03,441,441,,6.12,6.12,,30.9790017085224,,,
VRZAG64,A04,457,457,,0.48,0.48,,53.4444567504707,,,LC 
VRZAG64,A05,452,452,,2.07,2.07,,66.3321426546465,,,
VRZAG64,A06,446,446,,4.48,4.48,,61.4429363410438,,,
VRZAG64,A07,449,450,,0.62,0.99,,38.9855695905518,38.8441333281191,,CP LC 
VRZAG64,A08,455,455,,0.73,0.73,,55.0970873786408,,,LC 
VRZAG64,A09,433,433,,3.95,3.95,,58.1364878523565,,,
VRZAG64,A10,445,445,,4.49,4.49,,54.6546296236928,,,
VRZAG64,A11,448,455,,1.32,0.77,,32.0914269539681,31.952110533206,,CP 
VRZAG64,A12,456,456,,0.92,0.92,,56.7086154356169,,,LC 
VRZAG64,B01,438,461,,6.79,1.66,,17.4288870304113,17.2876147837005,,P 
VRZAG64,B02,456,456,,0.97,0.97,,63.1427348098556,,,LC 
VRZAG64,B03,457,457,,0.49,0.49,,59.4154488517745,,,LC 
VRZAG64,B04,456,456,,0.64,0.64,,52.0951591300466,,,LC 
VRZAG64,B05,429,444,,2.74,2.60,,43.7663111876532,33.4344571769226,,CP 
VRZAG64,B06,458,478,,0.44,0.46,,40.2678144428503,30.0041653167955,,CP LC 
VRZAG64,B07,454,467,327,2.75,1.79,1.45,11.6892094329475,11.7467846326558,11.7890184782099,C A2 
VRZAG64,B08,424,451,428,2.11,3.56,1.90,22.2066108359064,22.0811026945376,22.0691627607348,CP A2 
VRZAG64,B09,425,425,,3.21,3.21,,64.1235596960039,,,
VRZAG64,B10,415,429,440,3.32,6.60,2.81,19.8776837689425,19.7591383658174,16.5466286441517,CP A2 
VRZAG64,B11,428,437,420,1.76,3.23,1.30,10.3374684962605,10.3673083702309,10.368624835259,C A2 
VRZAG64,B12,318,484,,1.11,2.58,,19.3856051066589,32.3583803978772,,P 
VRZAG64,C01,421,440,470,3.21,4.38,1.82,13.1215508881216,13.1146013324194,13.1435051663629,C A2 
VRZAG64,C02,424,448,,3.28,2.19,,30.9737306494885,23.5864621741438,,CP 
VRZAG64,C03,427,450,,2.87,1.99,,24.2620947616616,24.1794837962033,,CP 
VRZAG64,C04,421,443,,3.48,3.05,,43.0272733955745,35.7751966477983,,CP 
VRZAG64,C05,419,436,,3.99,9.84,,17.1906911321789,17.142414393223,,P 
VRZAG64,C06,414,431,,4.06,9.99,,21.9645961229564,21.8719057363522,,P 
VRZAG64,C07,420,437,427,2.35,4.64,1.19,15.1726767771902,15.1283417791887,15.0989382571981,CP A2 
VRZAG64,C08,419,441,,1.59,4.07,,20.7064498801752,20.5476303611272,,P 
VRZAG64,C09,417,417,,4.09,4.09,,45.0820237903504,,,
VRZAG64,C10,423,430,,2.01,4.96,,23.7032824904112,23.5148514851485,,P 
VRZAG64,C11,419,503,,4.85,0.89,,17.2249973970125,17.4552709891595,,P 
VRZAG64,C12,427,514,,5.75,0.57,,32.503743373499,20.5270336215418,,P 
VRZAG64,D01,425,436,,1.72,3.99,,22.2817490282735,22.1145617228506,,P 
VRZAG64,D02,,,,,,,,,,NP 
VRZAG64,D03,440,455,,0.33,0.24,,38.0402572601357,28.4654389007178,,CP LC 
VRZAG64,D04,430,445,,3.25,3.58,,34.599111352535,34.3941367939942,,CP 
VRZAG64,D05,429,458,,15.63,2.01,,34.825780170219,20.9540667458759,,P 
VRZAG64,D06,420,420,,9.41,9.41,,45.532992036405,,,
VRZAG64,D07,426,445,424,1.24,1.60,0.85,21.3733380549206,21.3279464314458,21.4737790940991,C A2 
VRZAG64,D08,449,449,,0.98,0.98,,86.8560450628567,,,LC 
VRZAG64,D09,415,432,441,2.46,3.57,1.62,17.2989039819813,17.2827033461063,17.2415267299242,CP A2 
VRZAG64,D10,423,444,,2.74,2.13,,38.6570741240561,28.6557652294402,,CP 
VRZAG64,D11,431,443,435,1.23,2.45,0.93,21.4465585615762,21.4250252717082,21.3744818552125,CP A2 
VRZAG64,D12,430,443,323,2.07,2.15,1.65,16.741973225771,16.7126693858906,12.922562448422,CP A2 
VRZAG64,E01,440,454,,0.97,0.62,,40.4377550045713,25.6519247301557,,CP LC 
VRZAG64,E02,427,427,,2.90,2.90,,74.5648986956358,,,
