Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
YAG3,A01,361,380,,3.17,5.08,,56.6031213591612,33.3337600983267,,CP 
YAG3,A02,361,378,,3.18,3.81,,49.8680452622826,30.7472614872926,,CP 
YAG3,A03,358,379,,6.42,22.81,,25.0931803361073,24.9247677222119,,P 
YAG3,A04,362,379,,9.81,13.27,,43.1791636839244,29.9503205214461,,CP 
YAG3,A05,363,380,,7.11,7.35,,46.9520299376926,30.3072006937702,,CP 
YAG3,A06,361,378,,5.92,7.73,,45.4475716855359,29.9439212781716,,CP 
YAG3,A07,360,379,,3.39,12.55,,24.3743535172383,24.3821671218401,,P 
YAG3,A08,383,385,366,1.29,1.17,0.94,18.1678311095417,18.0076676671627,20.1969884228315,C A2 
YAG3,A09,362,379,,1.53,1.55,,42.3288374835924,23.4995339281298,,CP 
YAG3,A10,364,381,,6.35,6.83,,49.9002903544877,27.6809929485339,,CP 
YAG3,A11,362,379,377,0.29,0.17,0.11,48.3899764075751,26.8316010967289,18.2171778358732,CP A2 LC 
YAG3,A12,364,380,,4.26,6.56,,40.7753999854035,36.1920903038511,,CP 
YAG3,B01,361,378,,7.39,12.57,,38.1004812566809,35.8685329699822,,CP 
YAG3,B02,356,374,,8.63,10.16,,51.7310320028767,34.4077669902913,,CP 
YAG3,B03,367,384,,2.06,2.43,,36.2272153333118,25.3990351927996,,CP 
YAG3,B04,361,379,,7.61,8.51,,45.0964522688356,29.0661119434932,,CP 
YAG3,B05,350,370,,11.95,12.91,,35.5965206222702,25.8092270199286,,CP 
YAG3,B06,352,371,,0.24,0.32,,49.7105770917383,40.1157691633047,,CP LC 
YAG3,B07,366,380,,8.11,4.02,,21.6035376921652,12.9981081152594,,P 
YAG3,B08,366,366,,3.10,3.10,,28.6082693343158,,,
YAG3,B09,352,357,,6.46,5.77,,35.5868453600635,35.4557789223016,,CP 
YAG3,B10,354,363,,7.81,10.38,,42.0113855829803,36.4581332092986,,CP 
