Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
VVMD2,A01,410,416,,1.17,1.34,,48.7884362680683,39.5251861585633,,CP 
VVMD2,A02,404,411,,1.63,1.85,,48.7760365972357,40.1900428265525,,CP 
VVMD2,A03,408,413,,0.79,0.85,,44.3102927859946,39.3423412226345,,CP LC 
VVMD2,A04,408,413,,0.45,0.39,,44.5801960505754,34.5118015951941,,CP LC 
VVMD2,A05,407,413,,0.16,0.13,,30.4787093361545,22.3697434541127,,CP LC 
VVMD2,A06,409,414,,0.22,0.22,,29.9442347772207,29.7189207457894,,CP LC 
VVMD2,A07,405,411,,1.40,1.36,,50.4374743667363,39.6480674960452,,CP 
VVMD2,A08,408,414,,0.04,0.04,,7.91159224176816,8.05593143888137,,CP LC 
VVMD2,A09,408,414,,0.34,0.28,,36.1712094153468,30.0114178645666,,CP LC 
VVMD2,A10,408,414,,0.48,0.42,,42.8932896129715,33.8023805220624,,CP LC 
VVMD2,A11,410,415,,0.35,0.31,,34.5052737317931,30.1333272453313,,CP LC 
VVMD2,A12,418,423,416,0.02,0.02,0.01,6.9992604047603,5.95037988300948,5.95710347609763,C A2 LC 
VVMD2,B01,404,411,,1.75,1.82,,52.1511111111111,38.7699145299145,,CP 
VVMD2,B02,411,416,,0.33,0.27,,34.8092199505144,27.4297868646091,,CP LC 
VVMD2,B03,410,415,,0.16,0.13,,23.4254742547425,20.970189701897,,CP LC 
VVMD2,B04,410,415,,0.15,0.09,,26.8812673801298,18.8716609084015,,CP LC 
VVMD2,B05,400,400,,2.13,2.13,,89.2965693271314,89.2965693271314,,P 
VVMD2,B06,403,403,,0.43,0.43,,50.1866588073485,50.1866588073485,,P LC 
VVMD2,B07,415,415,,5.65,5.65,,80.9961124026895,,,
VVMD2,B08,422,422,,1.02,1.02,,77.1724346380535,77.1724346380535,,P 
VVMD2,B09,419,419,,1.02,1.02,,53.3581510780208,,,
VVMD2,B10,415,415,,3.50,3.50,,91.1118342553422,91.1118342553422,,P 
VVMD2,B11,415,415,,1.53,1.53,,65.3717037757559,,,
VVMD2,B12,488,488,,0.19,0.19,,49.6175438596491,,,LC 
VVMD2,C01,409,426,403,2.25,1.22,0.96,45.8009982876088,14.0750051614627,34.0201114875943,C A2 
VVMD2,C02,411,425,,0.29,0.33,,36.3797868140545,28.2915515199368,,CP LC 
VVMD2,C03,410,424,403,0.71,0.37,0.35,39.7295370494141,12.5607093525821,26.3979860090006,C A2 LC 
VVMD2,C04,414,423,,0.46,0.52,,40.2475685234306,37.7581294822674,,CP LC 
VVMD2,C05,,,,,,,,,,NP 
VVMD2,C06,409,417,,2.53,3.93,,42.3273383156292,41.3116596071822,,CP 
VVMD2,C07,400,418,,5.58,6.13,,35.7121965486984,35.6820879858232,,CP 
VVMD2,C08,401,418,,7.26,2.68,,35.3977842708639,35.2904585218835,,P 
VVMD2,C09,409,420,393,3.89,4.60,2.94,22.847729635541,22.8641295593985,22.9326578126602,C A2 
VVMD2,C10,390,418,,6.54,10.92,,43.1172412399875,42.9662326643165,,CP 
VVMD2,C11,396,422,,2.31,6.23,,29.8748714367583,29.8240154237938,,P 
VVMD2,C12,400,421,,1.84,4.85,,30.7956168886242,30.7492527074043,,P 
VVMD2,D01,402,420,400,1.84,3.14,1.18,31.4953914183011,30.1172095202536,31.5956893837898,C A2 
VVMD2,D02,386,386,,13.13,13.13,,43.4145952200455,,,
